RBD,ESTABLECIMIENTO,COMUNA,AREA,PRUEBA,NIVEL,PUNTAJE
6400,ESCUELA ISLA LLICAN,TEODORO SCHMIDT,RURAL,MATEMÁTICAS,2B,549
6407,ESCUELA NOHUALHUE,TEODORO SCHMIDT,RURAL,LENGUAJE,2B,490
6407,ESCUELA NOHUALHUE,TEODORO SCHMIDT,RURAL,LENGUAJE,3B,499
6407,ESCUELA NOHUALHUE,TEODORO SCHMIDT,RURAL,LENGUAJE,1B,0
6407,ESCUELA NOHUALHUE,TEODORO SCHMIDT,RURAL,MATEMÁTICAS,3B,510
6407,ESCUELA NOHUALHUE,TEODORO SCHMIDT,RURAL,MATEMÁTICAS,2B,513
6407,ESCUELA NOHUALHUE,TEODORO SCHMIDT,RURAL,MATEMÁTICAS,1B,530
6410,ESCUELA MALALHUE,TEODORO SCHMIDT,RURAL,LENGUAJE,3B,587
6410,ESCUELA MALALHUE,TEODORO SCHMIDT,RURAL,LENGUAJE,1B,0
6410,ESCUELA MALALHUE,TEODORO SCHMIDT,RURAL,LENGUAJE,2B,0
6410,ESCUELA MALALHUE,TEODORO SCHMIDT,RURAL,MATEMÁTICAS,3B,573
6410,ESCUELA MALALHUE,TEODORO SCHMIDT,RURAL,MATEMÁTICAS,1B,0
6410,ESCUELA MALALHUE,TEODORO SCHMIDT,RURAL,MATEMÁTICAS,2B,0
6411,ESCUELA PUYEHUE,TEODORO SCHMIDT,RURAL,LENGUAJE,2B,569
6411,ESCUELA PUYEHUE,TEODORO SCHMIDT,RURAL,LENGUAJE,1B,592
6411,ESCUELA PUYEHUE,TEODORO SCHMIDT,RURAL,LENGUAJE,3B,617
6411,ESCUELA PUYEHUE,TEODORO SCHMIDT,RURAL,MATEMÁTICAS,1B,556
6411,ESCUELA PUYEHUE,TEODORO SCHMIDT,RURAL,MATEMÁTICAS,2B,581
6411,ESCUELA PUYEHUE,TEODORO SCHMIDT,RURAL,MATEMÁTICAS,3B,632
6413,ESCUELA DE RUCA-CURA,TEODORO SCHMIDT,RURAL,LENGUAJE,1B,608
6413,ESCUELA DE RUCA-CURA,TEODORO SCHMIDT,RURAL,LENGUAJE,3B,612
6413,ESCUELA DE RUCA-CURA,TEODORO SCHMIDT,RURAL,LENGUAJE,2B,634
6413,ESCUELA DE RUCA-CURA,TEODORO SCHMIDT,RURAL,MATEMÁTICAS,3B,497
6413,ESCUELA DE RUCA-CURA,TEODORO SCHMIDT,RURAL,MATEMÁTICAS,1B,556
6413,ESCUELA DE RUCA-CURA,TEODORO SCHMIDT,RURAL,MATEMÁTICAS,2B,616
6415,ESCUELA LOS TRONCOS,TEODORO SCHMIDT,RURAL,LENGUAJE,1B,613
6415,ESCUELA LOS TRONCOS,TEODORO SCHMIDT,RURAL,LENGUAJE,3B,620
6415,ESCUELA LOS TRONCOS,TEODORO SCHMIDT,RURAL,LENGUAJE,2B,0
6415,ESCUELA LOS TRONCOS,TEODORO SCHMIDT,RURAL,MATEMÁTICAS,1B,579
6415,ESCUELA LOS TRONCOS,TEODORO SCHMIDT,RURAL,MATEMÁTICAS,3B,662
