RBD,ESTAB,COMUNA,AREA,NIVEL,SECTOR,EJE,VALOR
6499,ROMILIO ADRIAZOLA,CARAHUE,URBANO,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.73
6499,ROMILIO ADRIAZOLA,CARAHUE,URBANO,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.65
6500,COMPLEJO EDUCACIONAL DARÍO SALAS,CARAHUE,URBANO,1° Básico,LENGUAJE,INFORMACION EXPLICITA,0.85
6500,COMPLEJO EDUCACIONAL DARÍO SALAS,CARAHUE,URBANO,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.84
6500,COMPLEJO EDUCACIONAL DARÍO SALAS,CARAHUE,URBANO,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.78
6500,COMPLEJO EDUCACIONAL DARÍO SALAS,CARAHUE,URBANO,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.66
6501,ESCUELA BASICA KIM RUKA,CARAHUE,URBANO,1° Básico,LENGUAJE,INFORMACION EXPLICITA,0.86
6501,ESCUELA BASICA KIM RUKA,CARAHUE,URBANO,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.75
6501,ESCUELA BASICA KIM RUKA,CARAHUE,URBANO,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.71
6501,ESCUELA BASICA KIM RUKA,CARAHUE,URBANO,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.64
6502,ESCUELA BASICA NEHUENTUE,CARAHUE,URBANO,1° Básico,LENGUAJE,INFORMACION EXPLICITA,0.81
6502,ESCUELA BASICA NEHUENTUE,CARAHUE,URBANO,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.88
6502,ESCUELA BASICA NEHUENTUE,CARAHUE,URBANO,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.72
6502,ESCUELA BASICA NEHUENTUE,CARAHUE,URBANO,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.68
6504,ESCUELA TRANAPUENTE,CARAHUE,RURAL,1° Básico,LENGUAJE,INFORMACION EXPLICITA,0.56
6504,ESCUELA TRANAPUENTE,CARAHUE,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.61
6504,ESCUELA TRANAPUENTE,CARAHUE,RURAL,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.5
6504,ESCUELA TRANAPUENTE,CARAHUE,RURAL,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.4
6506,ESCUELA MUNICIPAL DINAMARCA,CARAHUE,RURAL,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.63
6508,"ESCUELA BASICA DINAMARCA, LUCERO",CARAHUE,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.88
6510,ESCUELA BASICA PAILACOYAN,CARAHUE,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.63
6512,ESCUELA VILLA LAS ARAUCARIAS,CARAHUE,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.63
6512,ESCUELA VILLA LAS ARAUCARIAS,CARAHUE,RURAL,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.78
6521,ESCUELA BASICA CAMARONES,CARAHUE,RURAL,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.89
6522,ESCUELA BASICA PUYANGUE,CARAHUE,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.88
6523,ESCUELA BASICA CHOMIO,CARAHUE,RURAL,1° Básico,LENGUAJE,INFORMACION EXPLICITA,0.71
6523,ESCUELA BASICA CHOMIO,CARAHUE,RURAL,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.75
6523,ESCUELA BASICA CHOMIO,CARAHUE,RURAL,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.89
6524,ESCUELA CULLINCO,CARAHUE,RURAL,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.5
6524,ESCUELA CULLINCO,CARAHUE,RURAL,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.44
6528,ESCUELA BASICA BAJO YUPEHUE,CARAHUE,RURAL,1° Básico,LENGUAJE,INFORMACION EXPLICITA,0.67
6528,ESCUELA BASICA BAJO YUPEHUE,CARAHUE,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.5
6528,ESCUELA BASICA BAJO YUPEHUE,CARAHUE,RURAL,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.65
6528,ESCUELA BASICA BAJO YUPEHUE,CARAHUE,RURAL,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.52
6529,ESCUELA BASICA MATTE Y SANCHEZ,CARAHUE,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.56
6529,ESCUELA BASICA MATTE Y SANCHEZ,CARAHUE,RURAL,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.67
6539,ESCUELA BASICA COI COI,CARAHUE,RURAL,1° Básico,LENGUAJE,INFORMACION EXPLICITA,0.71
6539,ESCUELA BASICA COI COI,CARAHUE,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.85
