RBD,COMUNA,AREA,NIVEL,SECTOR,EJE,VALOR
6352,TOLTÉN,URBANO,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,73"
6353,TOLTÉN,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,7"
6354,TOLTÉN,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,1
6358,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,45"
6371,TOLTÉN,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,45"
6373,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,65"
6397,TEODORO SCHMIDT,URBANO,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,73"
6398,TEODORO SCHMIDT,URBANO,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,47"
6399,TEODORO SCHMIDT,URBANO,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,72"
6400,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,5"
6407,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,2"
6410,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,6"
6411,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,95"
6413,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,7"
6415,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,8"
6454,SAAVEDRA,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,66"
6455,SAAVEDRA,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,43"
6456,SAAVEDRA,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,4"
6457,SAAVEDRA,URBANO,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,69"
6458,SAAVEDRA,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,18"
6459,SAAVEDRA,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,73"
6495,SAAVEDRA,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,72"
6499,CARAHUE,URBANO,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,64"
6500,CARAHUE,URBANO,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,66"
6501,CARAHUE,URBANO,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,72"
6502,CARAHUE,URBANO,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,65"
6504,CARAHUE,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,52"
6512,CARAHUE,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,4"
6521,CARAHUE,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,8"
6523,CARAHUE,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,8"
6524,CARAHUE,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,6"
6526,CARAHUE,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,7"
6528,CARAHUE,RURAL,3° Básico,LENGUAJE,INFORMACION IMPLICITA,"0,69"
