RBD,ESTABLECIMIENTO,COMUNA,SECTOR,NIVEL,PUNTAJE
6501,ESCUELA BASICA KIM RUKA,CARAHUE,Lenguaje,3° Básico,582
6501,ESCUELA BASICA KIM RUKA,CARAHUE,Lenguaje,4° Básico,583
6502,ESCUELA BASICA NEHUENTUE,CARAHUE,Lenguaje,1° Básico,560
6502,ESCUELA BASICA NEHUENTUE,CARAHUE,Lenguaje,2° Básico,593
6502,ESCUELA BASICA NEHUENTUE,CARAHUE,Lenguaje,3° Básico,570
6502,ESCUELA BASICA NEHUENTUE,CARAHUE,Lenguaje,4° Básico,586
6504,ESCUELA TRANAPUENTE,CARAHUE,Lenguaje,1° Básico,521
6504,ESCUELA TRANAPUENTE,CARAHUE,Lenguaje,2° Básico,544
6504,ESCUELA TRANAPUENTE,CARAHUE,Lenguaje,3° Básico,522
6504,ESCUELA TRANAPUENTE,CARAHUE,Lenguaje,4° Básico,514
6506,ESCUELA MUNICIPAL DINAMARCA,CARAHUE,Lenguaje,1° Básico,
6506,ESCUELA MUNICIPAL DINAMARCA,CARAHUE,Lenguaje,2° Básico,
6506,ESCUELA MUNICIPAL DINAMARCA,CARAHUE,Lenguaje,3° Básico,607
6506,ESCUELA MUNICIPAL DINAMARCA,CARAHUE,Lenguaje,4° Básico,
6508,ESCUELA BASICA DINAMARCA. LUCERO,CARAHUE,Lenguaje,1° Básico,
6508,ESCUELA BASICA DINAMARCA. LUCERO,CARAHUE,Lenguaje,2° Básico,578
6508,ESCUELA BASICA DINAMARCA. LUCERO,CARAHUE,Lenguaje,3° Básico,
6508,ESCUELA BASICA DINAMARCA. LUCERO,CARAHUE,Lenguaje,4° Básico,
6510,ESCUELA BASICA PAILACOYAN,CARAHUE,Lenguaje,1° Básico,
6510,ESCUELA BASICA PAILACOYAN,CARAHUE,Lenguaje,2° Básico,551
6510,ESCUELA BASICA PAILACOYAN,CARAHUE,Lenguaje,3° Básico,
6510,ESCUELA BASICA PAILACOYAN,CARAHUE,Lenguaje,4° Básico,
6512,ESCUELA VILLA LAS ARAUCARIAS,CARAHUE,Lenguaje,1° Básico,
6512,ESCUELA VILLA LAS ARAUCARIAS,CARAHUE,Lenguaje,2° Básico,598
6512,ESCUELA VILLA LAS ARAUCARIAS,CARAHUE,Lenguaje,3° Básico,
6512,ESCUELA VILLA LAS ARAUCARIAS,CARAHUE,Lenguaje,4° Básico,606
6515,ESCUELA CATRIPULLI,CARAHUE,Lenguaje,1° Básico,572
